"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"5123","5123","Тюменская область",2009-07-01,"5123",3354281.18467525,93.4390298650643,1634.46315982915,9203.27951571605,108.771761985145,412780.716199405,0.00274402260260376,30835.6141151668,-0.970000000000013,43440.7800000055,45794.8300000061,-0.311111111111103,311,14.4733333333333,787,17.9333333333333,4502.66666666667,67.44,"High usage",1688.19857167736
"5124","5124","Тюменская область",2009-10-01,"5124",3361286.05462269,94.1597848391106,1562.43099675291,9340.67377380525,108.480096035061,412564.861131497,0.00277914336544379,31729.8609675981,0.882222222222225,43706.0400000056,45957.0400000062,0.302962962962965,501,14.5333333333333,821,15.6333333333333,4549,63.86,"High usage",1627.02316650021
"5125","5125","Тюменская область",2010-01-01,"5125",3369206.17486857,96.6718874351156,1576.41959231823,9387.48564522298,108.510835124791,424024.508162619,0.00278613892712619,33047.6171310782,0.908000000000001,44250.0600000056,47081.0700000063,-0.860227272727258,439,13.7033333333333,829.666666666667,16.3666666666667,4614.33333333333,67.44,"High usage",1603.56148705711
"5126","5126","Тюменская область",2010-04-01,"5126",3376209.7530195,98.8599734994711,1583.56719361984,9382.81613570086,108.298796710766,438527.156593326,0.00277889898419499,33834.4687440389,-1.22999999999999,44077.8700000056,47022.4500000061,0.915909090909068,654,13.0733333333333,892.666666666667,16.3,4790.66666666667,65,"High usage",1584.87222045703
"5127","5127","Тюменская область",2010-07-01,"5127",3382296.78907545,100.724043032177,1583.87380065773,9326.6652452389,107.843980792988,456072.806423618,0.00275742353664886,34090.4158064801,0.124000000000024,44247.1400000055,46889.4000000063,0.37681818181818,993,13.0166666666667,851,16.4333333333333,5128.33333333333,69,"High usage",1570.95536669996
"5128","5128","Тюменская область",2010-10-01,"5128",3387467.28303644,102.264096033234,1577.33941343178,9219.0329738371,107.146387371455,476661.457653495,0.00272171258448779,33815.458318402,3.791,44306.0600000055,47151.0900000062,2.20090909090909,1483,12.2266666666667,897.333333333333,15.8666666666667,5751.66666666667,68,"High usage",1561.8109257859
"5129","5129","Тюменская область",2011-01-01,"5129",3391721.23490247,103.480132502641,1563.96403194212,9059.91932149546,106.206016446168,500293.110282957,0.00267176612771245,33009.5962798043,8.31272727272726,43267.9600000055,45168.8600000062,1.75877551020406,967,12.1333333333333,959.666666666667,15.8333333333333,6262.33333333333,71,"High usage",1557.43889771485
"5130","5130","Тюменская область",2011-04-01,"5130",3398840.32168789,105.102494089347,1544.42826657392,9044.7061319606,105.543461497586,519129.146189643,0.00266152873308759,32693.8089524435,6.44636363636361,43686.4300000057,45475.9300000063,3.27571428571427,1604,11.9066666666667,926.333333333333,15.3,7106.66666666667,68,"High usage",1544.11452740049
"5131","5131","Тюменская область",2011-07-01,"5131",3408824.5433927,107.131180793352,1518.73211732731,9173.39340523251,105.158722525709,533169.565373554,0.00269100040061423,32868.0963363193,4.46636363636362,44370.4400000057,46123.8700000063,3.36959183673468,1807,11.8266666666667,910.666666666667,14.1333333333333,8121.33333333333,68,"High usage",1521.83781484281
"5132","5132","Тюменская область",2011-10-01,"5132",3421673.9000169,109.566192614657,1486.87558420216,9445.98114131121,105.051799530537,542414.36783469,0.00276018113029116,33532.4584314319,2.02363636363636,45111.3000000058,47167.7000000061,1.6604081632653,2388,10.8266666666667,899,13.5666666666667,9285,67,"High usage",1490.60876004182
