"","Возраст","Пол","Напиток"
"765",35,1,"Пиво"
"766",83,2,"Пиво"
"767",45.5,1,"Пиво"
"768",77,1,"Пиво"
"769",71.5,2,"Водка"
"770",72,1,"Пиво"
"771",72,1,"Водка"
"772",72.5,2,"Водка"
"773",54,2,"Коньяк или виски"
"774",54,2,"Водка"
"775",40,1,"Пиво"
"776",40,1,"Самогон"
"777",19.5,2,"Коньяк или виски"
"778",62,1,"Пиво"
"779",62,1,"Водка"
"780",33.5,1,"Пиво"
"781",19,2,"Пиво"
"782",19,2,"Коньяк или виски"
"783",19,2,"Вино"
"784",34.5,2,"Пиво"
"785",34.5,2,"Мартини или вермут"
"786",77.5,1,"Самогон"
"787",43,1,"Пиво"
"788",43,1,"Водка"
"789",43,1,"Самогон"
"790",42,2,"Пиво"
"791",42,2,"Водка"
"792",22,1,"Пиво"
"793",22,1,"Самогон"
"794",41,2,"Пиво"
"795",63,1,"Коньяк или виски"
"796",78.5,1,"Пиво"
"797",65,1,"Пиво"
"798",65,1,"Водка"
"799",63,2,"Коктейли"
"800",63,2,"Пиво"
"801",63,2,"Коньяк или виски"
"802",63,2,"Водка"
"803",63,2,"Самогон"
"804",63,2,"Вино"
"805",63,2,"Мартини или вермут"
"806",52,2,"Вино"
"807",47.5,2,"Пиво"
"808",51.5,2,"Водка"
"809",26,2,"Коктейли"
"810",26,2,"Пиво"
"811",20.5,1,"Пиво"
"812",47.5,1,"Пиво"
"813",41,1,"Пиво"
"814",62.5,1,"Самогон"
"815",53.5,1,"Пиво"
"816",19,1,"Пиво"
"817",64,2,"Коньяк или виски"
"818",64,2,"Водка"
"819",57,2,"Мартини или вермут"
"820",80.5,2,"Коньяк или виски"
"821",56.5,1,"Пиво"
"822",55.5,2,"Пиво"
"823",55.5,2,"Мартини или вермут"
"824",40.5,2,"Коктейли"
"825",40.5,2,"Пиво"
"826",40.5,2,"Коньяк или виски"
"827",24,1,"Пиво"
"828",39.5,1,"Пиво"
"829",47,1,"Пиво"
"830",47,1,"Коньяк или виски"
"831",47,1,"Водка"
"832",18.5,2,"Коктейли"
"833",18.5,2,"Пиво"
"834",37.5,2,"Мартини или вермут"
"835",38,2,"Пиво"
"836",37.5,2,"Пиво"
"837",37.5,2,"Водка"
"838",37.5,2,"Самогон"
"839",24.5,1,"Пиво"
"840",24.5,1,"Вино"
"841",56,2,"Пиво"
"842",56,2,"Водка"
"843",18.5,2,"Пиво"
"844",18.5,2,"Водка"
"845",18.5,2,"Мартини или вермут"
"846",31.5,1,"Пиво"
"847",35.5,1,"Пиво"
"848",35.5,1,"Водка"
"849",24,1,"Пиво"
"850",24,1,"Водка"
"851",63,2,"Мартини или вермут"
"852",35,2,"Мартини или вермут"
"853",37,2,"Мартини или вермут"
"854",65,1,"Водка"
"855",64.5,2,"Коньяк или виски"
"856",64.5,2,"Вино"
"857",39,1,"Водка"
"858",55.5,1,"Пиво"
"859",68.5,1,"Водка"
"860",79,1,"Пиво"
