"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"362","WLN Bakken West McKenzie Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",10.94122656,10.9412265616546,"<$20",37.3776502246065,18.1189709116501,20.9274114029559,362,9504.0300138768
"363","WLN Three Forks West McKenzie Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",2.002817154,2.00281715392253,"<$20",6.93881188058858,18.1189709116501,20.9274114029559,363,9506.4333944616
"364","Delta House","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",38.60787715,38.6078771453133,"<$20",118.59,18.30244729,21.13932661995,364,9552.7628470416
"365","GFC Eagle Ford Maverick Oil SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",5.847205302,5.8472053016214,"<$20",16.1182582317458,18.3097702966572,21.1477846926391,365,9559.779493404
"366","VEN Ventura Basin Other Hz OGS CA","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.189554136,0.189554136033302,"<$20",0.677384045699017,18.3219710554224,21.1618765690129,366,9560.0069583672
"367","VEN Ventura Basin Other OGS CA","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",22.33126147,22.3312614724376,"<$20",75.2449048808278,18.3219710554224,21.1618765690129,367,9586.8044721312
"368","Tarantula (ST 308)","US (GoM Shelf)","North America",2020,"Shallow Water","Onstream","Non-OPEC",0.72,0.72,"<$20",1.18,18.358099785,21.203605251675,368,9587.6684721312
"369","DJU Niobrara Wattenberg Liquid Rich MRL Hz SHO CO","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",336.0748695,336.074869479622,"<$20",1033.15139464772,18.84114,21.7615167,369,9990.9583155312
"370","WLN Bakken Elm Coulee Hz SHO MT","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",16.15184841,16.1518484120509,"<$20",57.7812287654889,18.8516522583063,21.7736583583438,370,10010.3405336232
"371","WLN Bakken Williams Core Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",86.41847343,86.4184734332082,"<$20",241.042604272722,18.9746609452031,21.9157333917096,371,10114.0427017392
"372","WLN Three Forks Williams Core Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",43.12206394,43.1220639378338,"<$20",116.021033713157,18.9746609452031,21.9157333917096,372,10165.7891784672
"373","Odd Job (MC 214)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",18.11890601,18.1189060118195,"<$20",41.98,19.15666505,22.12594813275,373,10187.5318656792
"374","McArthur River Oil","US (Alaska)","North America",2020,"Shallow Water","Onstream","Non-OPEC",5.092801059,5.09280105907718,"<$20",16.9,19.2001066,22.176123123,374,10193.64322695
"375","CBP Central Basin Platform Other Hz OGS NM","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",7.128225576,7.12822557564194,"<$20",17.0502265438654,19.7580674679739,22.8205679255099,375,10202.1970976412
"376","CBP Central Basin Platform Other Hz OGS TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",57.28520869,57.2852086910186,"<$20",169.199488919325,19.7580674679739,22.8205679255099,376,10270.9393480692
"377","CBP Central Basin Platform Other OGS NM","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",40.81371306,40.8137130630984,"<$20",125.405393165989,19.7580674679739,22.8205679255099,377,10319.9158037412
"378","CBP Central Basin Platform Other OGS TX","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",93.57966227,93.5796622660425,"<$20",295.116486130069,19.7580674679739,22.8205679255099,378,10432.2113984652
"379","Esox (MC 726)","US (GoM Deepwater)","North America",2020,"Deepwater","Under Development","Non-OPEC",2.65185,2.65185,"<$20",61.99,20.23141455,23.36728380525,379,10435.3936184652
"380","Calliope (MC 609)","US (GoM Deepwater)","North America",2020,"Deepwater","Under Development","Non-OPEC",0.1633,0.1633,"<$20",13.78,20.980401995,24.232364304225,380,10435.5895784652
"381","Tubular Bells (MC 725)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",16.56143465,16.5614346461479,"<$20",29.85,21.15021408,24.4284972624,381,10455.4633000452
"382","Gunflint (MC 948)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",10.23481183,10.2348118315563,"<$20",25.96,21.438538855,24.761512377525,382,10467.7450742412
"383","ADK Miss Lime Hz SHG OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",4.543980294,4.54398029407883,"$20-$25",11.1101518227902,23.3884371875106,27.6525,383,10473.197850594
"384","Auger","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",14.02061915,14.0206191482338,"$20-$25",22.58,11.928249835,27.6525,384,10490.022593574
"385","Boris (GC 282)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",2.486149944,2.48614994396029,"$20-$25",3.21,10.50693996,27.6525,385,10493.0059735068
"386","Colville River Unit","US (Alaska)","North America",2020,"Onshore","Onstream","Non-OPEC",67.40861774,67.4086177354807,"$20-$25",319.08,21.4460585974228,27.6525,386,10573.8963147948
"387","DEL Bone Spring Other Eddy Hz SHO NM","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",38.63980503,38.6398050282637,"$20-$25",110.137678359521,20.3851878180487,27.6525,387,10620.2640808308
"388","Gladden","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",2.863425616,2.86342561639006,"$20-$25",5.71,18.39779266,27.6525,388,10623.70019157
"389","Glider (GC 248)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",6.35564402,6.35564402016308,"$20-$25",9.09,14.46519737,27.6525,389,10631.326964394
"390","Habanero (GB 341)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",2.244306564,2.24430656419761,"$20-$25",2.46,11.39528028,27.6525,390,10634.0201322708
"391","Heidelberg (GC 859)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",9.286785783,9.2867857828867,"$20-$25",11.56,13.70578199,27.6525,391,10645.1642752104
"392","Holstein","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",15.58438739,15.5843873919067,"$20-$25",23.22,15.12244867,27.6525,392,10663.8655400784
"393","Illinois","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",22.39113328,22.3911332763138,"$20-$25",108.480395367212,24.354,27.6525,393,10690.7349000144
